#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-06-23T11:05:16 [V7.32]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-06-23T11:05:16	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-out=_DE.icrs
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32	
#INFO	-out.max=50	
#INFO	-c=051.245833+60.000000,rd=2000.	
#Constraint -bmark=POST

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	
#INFO	publisher=CDS	
#INFO	creator=ESA 1997	
#INFO	related_resource=bibcode:1997HIP...C......0E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	
#INFO	publication_date=2021-11-18	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	BTmag	(F6.3)	? Mean BT magnitude (H32)	[ucd=phot.mag;em.opt.B]
#Column	VTmag	(F6.3)	? Mean VT magnitude (H34)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Notes	(A1)	[DGPWXYZ] Existence of notes (H70)	[ucd=meta.note]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
HIP	RAhms	DEdms	Vmag	RAICRS	DEICRS	Plx	pmRA	pmDE	e_Plx	BTmag	VTmag	B-V	Notes	_RA.icrs	_DE.icrs
 	 	 	mag	deg	deg	mas	mas/yr	mas/yr	mas	mag	mag	mag	 	deg	deg
------	-----------	-----------	-----	------------	------------	-------	--------	--------	------	------	------	------	-	------------	------------
115827	23 27 56.46	-15 17 57.1	 6.73	351.98523843	-15.29919250	   3.59	   14.91	  -10.66	  0.98	 8.718	 6.899	 1.514	 	351.98527600	-15.29921841
115829	23 27 58.07	+23 35 12.0	 7.86	351.99197746	+23.58665908	   6.74	   80.44	   28.91	  0.81	 9.050	 7.960	 0.942	 	351.99219080	+23.58672935
115833	23 28 00.69	-35 32 40.2	 6.34	352.00286076	-35.54448803	   5.06	    4.84	    1.32	  0.89	 7.882	 6.460	 1.201	 	352.00287522	-35.54448482
115834	23 28 00.70	+21 21 43.8	 7.98	352.00291431	+21.36215414	   2.48	  -14.55	  -11.98	  0.90	 8.938	 8.061	 0.783	 	352.00287634	+21.36212502
115838	23 28 04.45	+08 37 53.3	 7.86	352.01855072	+08.63146299	   2.54	   -6.49	   -2.61	  1.13	 9.895	 8.024	 1.555	 	352.01853476	+08.63145665
115839	23 28 05.14	-11 26 58.9	 6.37	352.02140081	-11.44969884	   8.83	   99.58	  -22.03	  0.93	 7.508	 6.476	 0.902	 	352.02164776	-11.44975239
115844	23 28 07.26	-12 12 44.3	 7.33	352.03026654	-12.21229504	   0.74	    1.79	  -13.36	  1.14	 9.345	 7.682	 1.390	P	352.03027099	-12.21232751
115847	23 28 12.85	+18 32 17.8	 7.42	352.05353386	+18.53828093	   3.97	  -18.20	  -10.74	  0.82	 7.788	 7.460	 0.333	 	352.05348720	+18.53825483
115848	23 28 13.25	-56 26 11.2	 7.28	352.05519735	-56.43643904	   6.47	   82.46	  -66.17	  1.15	 7.759	 7.348	 0.389	 	352.05555987	-56.43659987
115851	23 28 16.42	+06 04 28.4	 7.38	352.06842162	+06.07456725	   6.94	   45.88	  -22.15	  0.97	 7.865	 7.431	 0.410	 	352.06853376	+06.07451341
115856	23 28 23.55	+19 53 08.2	 6.67	352.09812956	+19.88560836	   8.71	  -18.83	  -11.25	  0.76	 6.968	 6.708	 0.248	 	352.09808089	+19.88558102
115857	23 28 25.03	-38 38 44.3	 7.36	352.10427624	-38.64563303	   3.90	   20.26	   11.81	  0.82	 8.550	 7.458	 0.944	 	352.10433929	-38.64560433
115858	23 28 25.25	-25 25 13.8	 6.90	352.10519643	-25.42049980	   8.29	  -28.99	  -17.71	  0.81	 7.109	 6.929	 0.160	 	352.10511841	-25.42054285
115864	23 28 27.26	+45 41 35.5	 7.69	352.11359184	+45.69319359	   0.42	    0.49	   -5.89	  0.85	 9.310	 7.823	 1.252	 	352.11359355	+45.69317927
115871	23 28 31.64	+09 25 37.8	 7.40	352.13184122	+09.42716915	   7.33	   95.07	   -8.57	  1.05	 7.976	 7.449	 0.495	 	352.13207546	+09.42714832
115874	23 28 33.37	+48 38 39.6	 7.99	352.13905226	+48.64432815	   8.08	    1.80	    9.64	  1.08	 8.445	 8.033	 0.402	 	352.13905888	+48.64435158
