#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-06-23T10:54:22 [V7.32]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-06-23T10:54:22	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-out=_DE.icrs
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32	
#INFO	-out.max=unlimited	
#INFO	-c=051.245833+60.000000,rd=2000.	
#Constraint -bmark=POST

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	
#INFO	publisher=CDS	
#INFO	creator=ESA 1997	
#INFO	related_resource=bibcode:1997HIP...C......0E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	
#INFO	publication_date=2021-11-18	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	BTmag	(F6.3)	? Mean BT magnitude (H32)	[ucd=phot.mag;em.opt.B]
#Column	VTmag	(F6.3)	? Mean VT magnitude (H34)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Notes	(A1)	[DGPWXYZ] Existence of notes (H70)	[ucd=meta.note]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
HIP	RAhms	DEdms	Vmag	RAICRS	DEICRS	Plx	pmRA	pmDE	e_Plx	BTmag	VTmag	B-V	Notes	_RA.icrs	_DE.icrs
 	 	 	mag	deg	deg	mas	mas/yr	mas/yr	mas	mag	mag	mag	 	deg	deg
------	-----------	-----------	-----	------------	------------	-------	--------	--------	------	------	------	------	-	------------	------------
 60718	12 26 35.94	-63 05 56.6	 0.77	186.64975585	-63.09905586	  10.17	  -35.37	  -14.73	  0.67	 0.446	 0.633	-0.243	P	186.64956584	-63.09909166
 61084	12 31 09.93	-57 06 45.2	 1.59	187.79137202	-57.11256922	  37.09	   27.94	 -264.33	  0.67	 3.653	 1.832	 1.600	 	187.79149709	-57.11321169
 62434	12 47 43.32	-59 41 19.4	 1.25	191.93049537	-59.68873246	   9.25	  -48.24	  -12.82	  0.61	 1.102	 1.281	-0.238	 	191.93026305	-59.68876362
 62956	12 54 01.63	+55 57 35.4	 1.76	193.50680410	+55.95984301	  40.30	  111.74	   -8.99	  0.62	 1.813	 1.764	-0.022	 	193.50728928	+55.95982116
 65474	13 25 11.60	-11 09 40.5	 0.98	201.29835230	-11.16124491	  12.44	  -42.50	  -31.73	  0.86	 0.877	 1.031	-0.235	P	201.29824701	-11.16132203
 67301	13 47 32.55	+49 18 47.9	 1.85	206.88560880	+49.31330288	  32.39	 -121.23	  -15.56	  0.74	 1.727	 1.842	-0.099	 	206.88515682	+49.31326506
 68702	14 03 49.44	-60 22 22.7	 0.61	210.95601898	-60.37297840	   6.21	  -33.96	  -25.06	  0.56	 0.435	 0.609	-0.231	 	210.95585201	-60.37303931
 71681	14 39 39.39	-60 50 22.1	 1.35	219.91412833	-60.83947139	 742.12	-3600.35	  952.11	  1.40	      	      	 0.900	D	219.89617026	-60.83715604
 80763	16 29 24.47	-26 25 55.0	 1.06	247.35194804	-26.43194608	   5.40	  -10.16	  -23.21	  1.68	 3.494	 1.287	 1.865	 	247.35192046	-26.43200249
 82273	16 48 39.87	-69 01 39.5	 1.91	252.16610742	-69.02763503	   7.85	   17.85	  -32.92	  0.63	 3.816	 2.081	 1.447	 	252.16622864	-69.02771504
 85927	17 33 36.53	-37 06 13.5	 1.62	263.40219373	-37.10374835	   4.64	   -8.90	  -29.95	  0.90	 1.446	 1.607	-0.231	P	263.40216661	-37.10382115
 86228	17 37 19.13	-42 59 52.2	 1.86	264.32969072	-42.99782155	  11.99	    6.06	   -0.95	  0.84	 2.374	 1.904	 0.406	 	264.32971086	-42.99782386
 90185	18 24 10.35	-34 23 03.5	 1.79	276.04310967	-34.38431460	  22.55	  -39.61	 -124.05	  1.02	 1.833	 1.810	-0.031	 	276.04299301	-34.38461611
 91262	18 36 56.19	+38 46 58.8	 0.03	279.23410832	+38.78299311	 128.93	  201.02	  287.46	  0.55	      	      	-0.001	 	279.23473511	+38.78369180
 97649	19 50 46.68	+08 52 02.6	 0.76	297.69450860	+08.86738491	 194.44	  536.82	  385.54	  0.94	 1.248	 0.955	 0.221	P	297.69582916	+08.86832198
100751	20 25 38.85	-56 44 05.6	 1.94	306.41187347	-56.73488071	  17.80	    7.71	  -86.15	  0.70	 1.762	 1.898	-0.118	 	306.41190763	-56.73509010
