ra,dec,mask_radius_px,mask_radius_deg,Vmag
19.825927,29.217798,103,0.007152777777777778,8.432000160217285
19.491999,29.492596,23,0.0015972222222222223,9.222000122070312
19.717663,29.507802,26,0.0018055555555555555,9.944000244140625
19.599073,29.583433,33,0.0022916666666666667,8.779000282287598
19.668252,29.822978,31,0.0021527777777777778,8.906000137329102
19.55769,29.819135,71,0.004930555555555555,9.687000274658203
19.710588,29.877406,50,0.003472222222222222,9.833000183105469
21.018267,29.691103,40,0.002777777777777778,9.873000144958496
21.112043,29.841582,40,0.002777777777777778,8.75100040435791
20.600667,29.913317,37,0.0025694444444444445,8.848999977111816
20.285687,29.070864,27,0.001875,11.618000030517578
20.424162,29.07476,17,0.0011805555555555556,11.71500015258789
19.562172,29.08391,17,0.0011805555555555556,11.887999534606934
19.73944,29.130497,26,0.0018055555555555555,10.604000091552734
19.702665,29.276291,26,0.0018055555555555555,11.039999961853027
20.080082,29.078521,21,0.0014583333333333334,11.442000389099121
20.228693,29.370884,21,0.0014583333333333334,10.793999671936035
20.021668,29.528426,21,0.0014583333333333334,10.880000114440918
19.22094,29.489887,54,0.00375,10.303000450134277
19.353874,29.523286,23,0.0015972222222222223,11.871000289916992
20.170193,29.030385,5,0.00034722222222222224,13.440999984741211
20.163625,29.081539,4,0.0002777777777777778,13.87399959564209
20.501712,29.169708,6,0.0004166666666666667,13.612000465393066
20.341297,29.156557,6,0.0004166666666666667,13.192000389099121
20.39385,29.153,12,0.0008333333333333334,12.817999839782715
20.394737,29.233239,15,0.0010416666666666667,12.675999641418457
19.920915,29.017613,6,0.0004166666666666667,13.210000038146973
19.883651,29.026832,17,0.0011805555555555556,12.416999816894531
19.896808,29.056863,12,0.0008333333333333334,12.899999618530273
19.856039,29.078046,6,0.0004166666666666667,13.907999992370605
20.116412,29.032713,6,0.0004166666666666667,14.232000350952148
20.142452,29.036782,6,0.0004166666666666667,14.871999740600586
20.187311,29.0214,6,0.0004166666666666667,15.199999809265137
20.171891,29.022865,6,0.0004166666666666667,14.906000137329102
20.183194,29.032462,6,0.0004166666666666667,14.347999572753906
20.147475,29.074776,6,0.0004166666666666667,15.62600040435791
20.174168,29.081451,6,0.0004166666666666667,15.324999809265137
20.174147,29.081393,6,0.0004166666666666667,15.277999877929688
20.378275,29.127042,6,0.0004166666666666667,15.067000389099121
20.452449,29.11,6,0.0004166666666666667,15.392999649047852
20.095892,29.007044,6,0.0004166666666666667,16.36400032043457
20.096671,29.007384,6,0.0004166666666666667,16.37299919128418
20.111975,29.006868,6,0.0004166666666666667,16.386999130249023
20.205483,29.052473,6,0.0004166666666666667,16.149999618530273
20.387201,29.133094,6,0.0004166666666666667,16.570999145507812
20.431542,29.120653,6,0.0004166666666666667,17.12700080871582
20.454525,29.193911,6,0.0004166666666666667,16.152000427246094
20.45459,29.193676,6,0.0004166666666666667,16.020000457763672
20.467644,29.187631,6,0.0004166666666666667,16.457000732421875
20.331148,29.152916,6,0.0004166666666666667,16.305999755859375
279.23410832,38.78299311,284,0.01972222222222222,0.03
79.17206517,45.99902927,210,0.014583333333333334,0.08
78.63446353,-8.20163919,320,0.022222222222222223,0.18
88.79287161,7.40703634,238,0.016527777777777777,0.45
297.6945086,8.86738491,196,0.01361111111111111,0.76
68.98000195,16.50976164,173,0.012013888888888888,0.87
310.3579727,45.28033423,221,0.015347222222222222,1.25
84.05338572,-1.20191725,198,0.01375,1.69
51.08061889,49.86124281,173,0.012013888888888888,1.79
206.8856088,49.31330288,202,0.014027777777777778,1.85
222.67664751,74.15547596,191,0.01326388888888889,2.07
221.24687869,27.07417383,177,0.012291666666666666,2.35
183.95194937,-17.5419837,188,0.013055555555555556,2.58
190.41667557,-1.44952231,123,0.008541666666666666,2.74
195.54483557,10.95910186,103,0.007152777777777778,2.85
183.85603795,57.03259792,103,0.007152777777777778,3.32
193.90201366,3.39759862,103,0.007152777777777778,3.39
217.95774098,30.37114497,134,0.009305555555555555,3.57
221.56246594,1.8929383,118,0.008194444444444445,3.73
188.37101041,69.78820992,128,0.008888888888888889,3.85
265.35381884,-12.87517268,170,0.011805555555555555,4.24
265.4846127,72.14949916,176,0.012222222222222223,4.57
267.36223704,76.96227797,153,0.010625,5.02
268.32509092,40.00783707,186,0.012916666666666667,5.17
268.79640765,72.00513388,170,0.011805555555555555,5.43
265.61832228,24.56431006,176,0.012222222222222223,5.56
266.78349746,17.69704078,108,0.0075,5.61
265.84016161,24.32764591,122,0.008472222222222223,5.73
269.07667921,0.67035571,90,0.00625,5.82
268.14776351,1.30504981,90,0.00625,5.91
352.2528732,-9.26603962,77,0.005347222222222222,6.2
352.36248095,-1.79115943,83,0.005763888888888889,6.35
352.09812956,19.88560836,117,0.008125,6.67
352.37635363,-1.03582677,56,0.0038888888888888888,6.88
352.19458213,-5.38937696,60,0.004166666666666667,6.99
352.25924647,16.01254578,58,0.004027777777777778,7.11
352.46959647,35.01403966,65,0.0045138888888888885,7.53
352.16739208,39.61904371,32,0.0022222222222222222,7.67
352.20558236,72.22997505,33,0.0022916666666666667,7.74
352.33749279,25.81208936,33,0.0022916666666666667,7.92
